"Age","Year","Principal","Low","High","Principal.2012","Low.2012","High.2012"
49,2027,3.584580944,3.578945008,3.502670272,2.92480218289077,2.63766136526277,3.25325397908866
15,2028,1.554933348,1.571909544,1.593718787,2.07865794162365,1.86410014479731,2.33243642575125
16,2028,4.28602049,4.324959495,4.648685941,5.65402401912018,5.07352919348987,6.34189763203862
17,2028,12.35340349,12.49318242,13.43165936,14.3643604449221,12.6555771530012,16.1679437306534
18,2028,20.1059971,20.35111789,24.17325355,23.4174627823651,20.3021688579237,26.4148855731567
19,2028,32.6627828,31.93508561,38.23864446,33.7069629954108,28.8079425445473,38.064060764623
20,2028,41.52179469,39.34828745,48.042518,47.1906688737681,40.6488808881753,54.7051788753684
21,2028,47.53987,44.64306896,54.86627119,54.4965539518471,45.6721805231147,62.1908239912671
22,2028,54.68784886,50.89475293,62.6422613,64.5290846036165,54.0081011403816,73.7430885654676
23,2028,62.74326584,57.92032237,71.29241434,71.5571061079157,59.7845474843897,81.8091149021961
24,2028,73.26573232,65.65524032,80.52752354,80.1840637988366,67.215575911977,91.3462128166733
25,2028,84.59437461,74.6711612,90.43172644,87.8090518029949,76.4248206004951,100.11672157433
26,2028,94.57276856,83.51074858,100.6615366,94.4378124634831,82.7107877785836,107.500627852229
27,2028,104.0271113,91.94047447,110.2346576,101.788230314478,89.5720199566642,115.552956659807
28,2028,110.2597933,97.6491104,116.3920065,108.854654874466,96.4989099054905,122.937311051756
29,2028,117.2058951,105.9405813,125.2946699,113.361039095277,101.11365775486,127.263733918017
30,2028,117.9498578,108.2164931,132.8412973,119.710215419991,109.71566703251,130.865035979774
31,2028,121.3592104,112.9147,137.2605437,123.473608001492,113.781165104438,133.965065781819
32,2028,118.8185445,109.9116282,132.6042784,118.515544567518,109.654914715028,127.768511102459
33,2028,111.684552,103.60673,124.3515109,113.117155293999,105.126563747929,121.301106504152
34,2028,105.9080572,97.46428652,116.2743802,106.176116327041,99.097864439986,113.314843630282
35,2028,95.59129567,87.58972895,107.6683799,96.7239470742596,88.4871900318369,102.50007834913
36,2028,85.63138557,76.06076375,93.11156721,81.8570779244023,75.1889859035138,87.7368771813249
37,2028,72.76980079,62.37503673,76.2199891,67.201158205037,61.7623162912455,71.8684571338862
38,2028,59.80484184,49.07099933,59.95221377,51.7363039896391,47.6270205987232,55.2374086918363
39,2028,49.26950357,38.50906538,47.154825,40.0804545846067,36.8094817611277,42.8074175335366
40,2028,33.02000729,27.29228128,35.39188112,29.6362953749548,26.9137363847758,32.736478844649
41,2028,24.23355964,17.90475169,23.30220677,19.5050806604146,17.6725393122424,21.5260581514488
42,2028,15.06094867,11.16634188,14.62808454,12.4594398384387,11.2405384580555,13.7819481629997
43,2028,8.853171035,6.555904964,8.618757745,7.08355794472027,6.38694812876687,7.84204515524852
44,2028,5.161880143,3.811544413,5.037454251,4.0643195205616,3.66228025674483,4.50624899143944
45,2028,2.658211867,2.650654831,2.598780116,2.30239066165624,2.08049353713695,2.55571272962967
46,2028,3.592625771,3.582412288,3.512302588,2.92760054114417,2.64544766733356,3.24971174304997
47,2028,3.592625771,3.582412288,3.512302588,2.92760054114417,2.64544766733356,3.24971174304997
48,2028,3.592625771,3.582412288,3.512302588,2.92760054114417,2.64544766733356,3.24971174304997
49,2028,3.592625771,3.582412288,3.512302588,2.92760054114417,2.64544766733356,3.24971174304997
15,2029,1.554880911,1.567056715,1.594096953,2.07755340365924,1.86257765421118,2.33227475024067
16,2029,4.285903074,4.311916815,4.650254188,5.65117646359788,5.06922871792536,6.34144144528934
17,2029,12.35356327,12.4592966,13.43611023,14.3570827797087,12.6448962193096,16.1667852503811
18,2029,20.10449013,20.29328798,24.18230847,23.4053996003792,20.2852288591745,26.413014020422
19,2029,32.65717833,31.83945636,38.25644948,33.6887774122216,28.783264308109,38.06138005397
20,2029,41.51138351,39.23189605,48.07726098,47.163310211471,40.6111152600353,54.7011270557234
21,2029,47.52378987,44.51287798,54.92737675,54.4576402466795,45.6206777461645,62.1853890175225
22,2029,54.6692767,50.74948347,62.7286066,64.4686135875104,53.9274634699451,73.7340758812068
23,2029,62.72515357,57.75833616,71.4074877,71.4703742146642,59.6675523000532,81.7940810067154
24,2029,73.24462067,65.47558328,80.66720156,80.0721215522783,67.062302987102,91.3236874279424
25,2029,84.56743683,74.47240992,90.58516617,87.6831895174363,76.2424282931807,100.102653883373
26,2029,94.54581585,83.29473789,100.815231,94.3323504477355,82.5450695728962,107.506429871994
27,2029,104.0037065,91.71105376,110.3794582,101.690528832335,89.4002712702473,115.570607482859
28,2029,110.2429639,97.41718339,116.5134646,108.771224862005,96.3464082285505,122.948915656858
29,2029,117.1969444,105.7022239,125.3708107,113.287362522394,100.98533771149,127.260631678878
30,2029,117.952565,107.9963202,132.8651878,119.650261603885,109.632931885625,130.837279420079
31,2029,121.3929516,112.7451369,137.2467804,123.434821546779,113.750391965917,133.910747325506
32,2029,118.9022685,109.832249,132.5957601,118.505301739648,109.662910961607,127.70085297008
33,2029,111.8092739,103.6124223,124.3659778,113.157530196016,105.192102717962,121.237700437188
34,2029,106.1441052,97.622701,116.3805759,106.325867947665,99.2790647684991,113.333373214416
